Object ID,Name of site,Place,Region,Site description,Campsite category,Number of powered sites,Number of unpowered sites,Bookable,Free,Facilities,Activities,Dogs alllowed,Landscape type,Access by,Has alerts,URL to thumbnail,URL to webpage,Description of place,x,y,DOC system ID,Date loaded to GIS,GlobalID,x2,y2
156585,Lake Paringa Campsite,"Haast, Paringa and Moeraki rivers area",West Coast,"Enjoy boating, fishing and swimming in the lake and walk the Haast to Paringa Cattle Track.",Standard,0,12,Yes,,"Boat launching, Non-powered/tent sites, Water from tap - not treated, boil before use, Wheelchair accessible, Toilets - non-flush, Toilets, Water supply","Boating, Fishing, Swimming, Walking and tramping",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Rivers and lakes,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/80060e2692a74adcab073116a1e4b242.jpg,https://www.doc.govt.nz/link/8e3e50fe721549049ce0ac83df9360ac.aspx,"Located in Haast, Paringa and Moeraki rivers area",1310929,5152778,100043486,6/25/2024 8:30:52 AM,c9de380c-def2-41f7-a396-8f156a85b08a,1310929,5152778
156586,Lake Rotoroa Campsite,Nelson Lakes National Park,Nelson/Tasman,An easily accessible camp in a picturesque setting - enjoy water activities or a stroll in the native bush.,Standard,0,10,No,,"Boat launching, Jetty, Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply","Boating, Four wheel driving, Kayaking and canoeing, Walking and tramping",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,"Forest, Rivers and lakes","Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/caa659c8dba1486ebd182fb461b6e79e.jpg,https://www.doc.govt.nz/link/3e2030f135604da3840f551be35849b3.aspx,Located in Nelson Lakes National Park,1566590,5373011,100066492,6/25/2024 8:30:52 AM,33cb6710-654e-4579-acc5-544257a482ec,1566590,5373011
156587,Mokau Landing Campsite,Te Urewera,East Coast,"Large grassy site between native rainforest and Lake Waikaremoana, 1.5 km from Mōkau Falls.",Standard,0,40,No,,"Boat launching, Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply",,No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,"Forest, Rivers and lakes","Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/21816e50188d44d399ba2c49c4e78bae.jpg,https://www.doc.govt.nz/link/b992aed862b74ac2939d7ed5adee72f8.aspx,Located in Te Urewera,1955532,5704909,100043675,6/25/2024 8:30:52 AM,7eb98fc0-06a1-4175-8184-575a7378ba88,1955532,5704909
156588,Lyell Campsite,Lyell area,West Coast,"The site of the historic gold-rush town of Lyell, this large, grassed campsite is easily accessible. Explore the gold workings at settlements of Gibbstown (2 hr return), Zalatown and 8 Mile, plus the Alpine Battery site.",Standard,0,18,Yes,,"BBQ, Non-powered/tent sites, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply",Walking and tramping,Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/1a5fc4edde9b440491dff59b666e6f6d.jpg,https://www.doc.govt.nz/link/18af6f4c747049988b450066d4bc061e.aspx,Located in Lyell area,1520990,5372328,100043484,6/25/2024 8:30:53 AM,7300d424-fd70-4c41-b452-849a2fcf8024,1520990,5372328
156589,Maitai Bay Campsite,Karikari Peninsula,Northland,This Kaitaia area campsite is popular with families. Camp in a sheltered bay nestled amongst beautiful pohutukawa trees.,Standard,0,100,No,,"Non-powered/tent sites, Shower - cold, Toilets - flush, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets, Water supply","Bird and wildlife watching, Diving and snorkelling",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f80e873ef77649859504e1df6b434812.jpg,https://www.doc.govt.nz/link/f2b36c981bed49769187977b5db6e330.aspx,Located in Karikari Peninsula,1637315,6145779,100066494,6/25/2024 8:30:53 AM,913bbb6a-8948-4012-89c7-40ac7b3d426b,1637315,6145779
156590,Cameron Flat Campsite,Makarora area,Otago,"This is a standard campsite in the Wanaka/Makarora area. Camp near the Makarora River. Plenty of great activities are available nearby, such as hunting, tramping or fishing.",Standard,0,30,Yes,,"Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Wheelchair accessible, Toilets - non-flush, Toilets, Water supply","Fishing, Hunting, Walking and tramping",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Rivers and lakes,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/d0d2259da238460e92b9ecd74a7a81b6.jpg,https://www.doc.govt.nz/link/0c9f620a83ed40a599d91557a7235432.aspx,Located in Makarora area,1303139,5103514,100064830,6/25/2024 8:30:53 AM,5f8bf3fa-c159-45e7-9b6e-ff45e734a3be,1303139,5103514
156591,Pleasant Flat Campsite,Mount Aspiring National Park,Otago,"This is a standard campsite in the Wanaka/Makarora area. Take in the magnificent views of Mt Hooker from the campsite. Fish in nearby Haast River, enjoy short walks or picnics.",Standard,0,22,Yes,,"Non-powered/tent sites, Shelter for cooking, Toilets - flush, Water from tap - not treated, boil before use, Wheelchair accessible, Toilets, Water supply",Fishing,No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Rivers and lakes,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/88b87b36fb714b15a7964c3bfe6528e9.jpg,https://www.doc.govt.nz/link/6a4b26aec95442bb8704ffc06a1871a7.aspx,Located in Mount Aspiring National Park,1309901,5120448,100065484,6/25/2024 8:30:53 AM,d77ed8ef-1b9a-4e64-a01b-50865a69f7c7,1309901,5120448
156592,Mangahuia Campsite,Tongariro National Park,Central North Island,A peaceful campsite beside a stream on the edge of the Tongariro National Park. ,Standard,0,21,Yes,,"Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply",Walking and tramping,No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b76a1c7e043f4011bb4edbb573ecd4ed.jpg,https://www.doc.govt.nz/link/2bd99c0658c34f78a0ff0cb38e8928e7.aspx,Located in Tongariro National Park,1813334,5660336,100044154,6/25/2024 8:30:54 AM,e8404486-1703-4bba-a2f0-e04ea7553e02,1813334,5660336
156593,Marfells Beach Campsite,Marfells Beach area,Marlborough,Camp within your own touch of paradise next to the sea. Enjoy the stunning wildlife and magnificent scenery. ,Standard,0,41,Yes,,"Boat launching, Non-powered/tent sites, Shower - cold, Toilets - flush, Water from tap - not treated, boil before use, Wheelchair accessible, Toilets, Water supply","Fishing, Walking and tramping",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/9fd2cae4e8664c788c48c2766cf96a50.aspx,https://www.doc.govt.nz/link/8a0e3ce89fec4297ac99778478d65a31.aspx,Located in Marfells Beach area,1700179,5380002,100066489,6/25/2024 8:30:54 AM,d08273ac-e7f4-4b84-be22-04e868b47cd5,1700179,5380002
156594,Kiriwhakapapa Campsite,Tararua Forest Park,Wairarapa,"This is a lovely family campsite beside a creek, with an old logging and exotic redwood forest trail area nearby.",Standard,0,15,No,,"Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Shelter for cooking, Toilets - flush, Water from stream, Toilets, Water supply",Walking and tramping,Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,"Forest, Rivers and lakes","Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/52d849ade3524613bf20456a819448d6.jpg,https://www.doc.govt.nz/link/10160bc0d7854c0496fb5c899e7e14bb.aspx,Located in Tararua Forest Park,1814763,5479438,100044517,6/25/2024 8:30:54 AM,43580abc-ac5f-4293-a9a7-043030a72307,1814763,5479438
156595,Matatā Campsite,Matatā area,Bay of Plenty,This is a family campsite in a coastal setting with excellent fishing and swimming next to the Matatā wildlife refuge. No dogs are allowed.,Standard,0,80,Yes,,"Non-powered/tent sites, Shower - hot, Water from tap - treated, suitable for drinking, Toilets - non-flush, Toilets","Bird and wildlife watching, Fishing, Swimming",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/25323c325b6145648e2d64be99b26069.aspx,https://www.doc.govt.nz/link/983b3b551a6b4ba6927d554fe97ff78f.aspx,Located in Matatā area,1930738,5800119,100085474,6/25/2024 8:30:54 AM,b85284de-5fc4-43ef-9246-ff13f2d7d212,1930738,5800119
156596,Matiu/somes Island Campsite,Matiu/Somes Island,Wellington/Kapiti,Camp in a sheep paddock on this historic island.,Standard,0,12,Yes,,"Cookers/electric stove, Non-powered/tent sites, Shelter for cooking, Wheelchair accessible with assistance, Water from tap - treated, suitable for drinking, Toilets - non-flush, Toilets",,No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,Boat,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/383b19a3b3c043a59424f202bd85e10d.jpg,https://www.doc.govt.nz/link/fd8e1ab6329144b7982f9083cd83a8b4.aspx,Located in Matiu/Somes Island,1756303,5430941,100037922,6/25/2024 8:30:55 AM,2c1e7cab-82fc-497c-842e-835529da2f96,1756303,5430941
156597,Mavora Lakes Campsite,Mavora Lakes Conservation Park,Southland,"Mavora Lakes Campsite has two main (standard) camping areas: one alongside South Mavora Lake, and the other between South Mavora Lake and North Mavora Lake. ",Standard,0,60,Yes,,"BBQ, Boat launching, Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply","Boating, Fishing, Mountain biking",Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,Rivers and lakes,"Campervan, Car, Caravan, Mountain bike",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/e18537aa01f6454bb338f9a599e24138.jpg,https://www.doc.govt.nz/link/07540cfcf9404be8bb256d49ef81d0d9.aspx,Located in Mavora Lakes Conservation Park,1221497,4975941,100044152,6/25/2024 8:30:55 AM,d6ca2534-c9af-46bd-9503-d5d7927f422c,1221497,4975941
156598,Cascade Creek Campsite,Fiordland National Park,Fiordland,This is a standard campsite in northern Fiordland that is good for larger vehicles.,Standard,0,120,Yes,,"Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Shelter for cooking, Water from stream, Wheelchair accessible, Toilets - non-flush, Toilets, Water supply",Fishing,No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Rivers and lakes,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/6f2b7a0e9c664188a5db9d26496ac023.aspx,https://www.doc.govt.nz/link/1b40c89315e5410e930a629c174a093e.aspx,Located in Fiordland National Park,1211142,5016992,100039602,6/25/2024 8:30:56 AM,4ebb2933-ab5f-48eb-874b-3da7da3ce205,1211142,5016992
156599,Waikahoa Bay Campsite,Mimiwhangata Coastal Park,Northland,Camp beside a sandy beach among pōhutukawa trees. A great spot for water activities.,Standard,0,35,Yes,,"Non-powered/tent sites, Shower - cold, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply","Bird and wildlife watching, Diving and snorkelling, Kayaking and canoeing, Swimming, Walking and tramping",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,Foot,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5ca45f7cc52f40f0bea81df174f7f487.jpg,https://www.doc.govt.nz/link/a83378d7a1f8469a8e480fdb42a88099.aspx,Located in Mimiwhangata Coastal Park,1728210,6077006,100065352,6/25/2024 8:30:56 AM,83bdf316-0c33-485d-8b4b-3d1347cb37a9,1728210.0028,6077005.6062
156600,Trotters Gorge Campsite,Moeraki area,Otago,This is a quiet family standard campsite on the Otago coast in a bush setting. It connects with two riverside tracks.,Standard,0,10,Yes,,"Non-powered/tent sites, Water from stream, Toilets - non-flush, Toilets, Water supply",Walking and tramping,Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,Forest,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/4a139913ccc24638822fb2846bb9f760.jpg,https://www.doc.govt.nz/link/3d178eddc761482bb514a165860862d3.aspx,Located in Moeraki area,1426406,4969749,100065537,6/25/2024 8:30:57 AM,be9725bc-f409-4e64-8439-3b2234be29d9,1426406,4969749
156601,Acheron Accommodation House Campsite,Molesworth Recreation Reserve,Marlborough,"Camp by this historic cobb building from 1863, once used as an overnight carriage stop.",Standard,0,20,No,,"Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply",,No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,,"Campervan, Car, Mountain bike",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3f964535f2574297a72fa76ac4107aae.jpg,https://www.doc.govt.nz/link/de545f9ea0be468e9629f6dc740720f6.aspx,Located in Molesworth Recreation Reserve,1596410,5306311,100065342,6/25/2024 8:30:57 AM,fc80001d-6751-4d44-ade6-522d2a0b9b72,1596410,5306311
156602,Molesworth Cob Cottage Campsite,Molesworth Recreation Reserve,Marlborough,Camp near the original cob cottage built in 1885 close to the Molesworth Recreation Reserve boundary.,Standard,0,20,No,,"Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply","Fishing, Mountain biking, Scenic driving",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,,"Campervan, Car, Mountain bike",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/e818eec4caf849c59135d6288294159e.jpg,https://www.doc.govt.nz/link/3bd9a0f5beb544979ccf0399a57a1224.aspx,Located in Molesworth Recreation Reserve,1622348,5340738,100066490,6/25/2024 8:30:57 AM,550c70c2-6d7a-48e5-af75-950678ea946d,1622348,5340738
156603,Motuihe Island Campsite,Motuihe Island,Auckland,"Camp on the headland near a sandy, sheltered beach and explore the island by foot. Good boat anchorage. Home to kiwi, kākāriki, saddleback and shore skink.",Standard,0,64,Yes,,"Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply",,No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,Boat,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/92b4401f0f964d31ad91059ce5fb152a.jpg,https://www.doc.govt.nz/link/35f0698cb5264225b9d335571293d8d2.aspx,Located in Motuihe Island,1772695,5925165,100065443,6/25/2024 8:30:57 AM,336d0f4d-77f6-46e1-ac82-cd7f08432a43,1772695,5925165
156604,"Home Bay, Motutapu Island Campsite",Motutapu Island ,Auckland,"This idyllic campsite right by the beach. Explore the island’s walkways, stunning coastline, replanted native bush and ever-increasing wildlife. ",Standard,0,131,Yes,,"Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply","Bird and wildlife watching, Diving and snorkelling, Fishing",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,,Boat,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5a46e8d8b398433599de9ee3a2619e48.jpg,https://www.doc.govt.nz/link/6621282aad00490d8c779d30c60ec1fc.aspx,Located in Motutapu Island ,1772165,5929222,100065442,6/25/2024 8:30:58 AM,360eacb1-9b10-4c74-8e58-16eab8f217ac,1772165,5929222
156605,West Bay Campsite,Nelson Lakes National Park,Nelson/Tasman,Enjoy water activities on the lake at this easily accessible campsite in the picturesque Nelson Lakes National Park. It is only open during the summer months.,Standard,0,40,Yes,,"Boat launching, Non-powered/tent sites, Shelter for cooking, Shower - cold, Wheelchair accessible with assistance, Water from tap - treated, suitable for drinking, Toilets - non-flush, Toilets","Bird and wildlife watching, Boating, Fishing, Kayaking and canoeing, Mountain biking, Swimming, Walking and tramping",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,"Forest, Rivers and lakes","Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b0100526054b479e8129789d24a1cde0.aspx,https://www.doc.govt.nz/link/4a8205d84af948959bf1232770f6f3e8.aspx,Located in Nelson Lakes National Park,1585660,5372655,100085451,6/25/2024 8:30:58 AM,0521043e-60fd-44fd-9868-790b333de68d,1585660,5372655
156606,Hans Bay - Lake Kaniere Campsite,Lake Kaniere Scenic Reserve,West Coast,"This is a large, grassy lake-front campsite beside beautiful Lake Kaniere. Fish from the jetty, boat or swim in the lake.",Standard,0,40,Yes,,"Boat launching, Jetty, Non-powered/tent sites, Shelter for cooking, Toilets - flush, Water from tap - not treated, boil before use, Toilets, Water supply","Boating, Fishing, Swimming",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Rivers and lakes,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/53a79c78a55940e38f469672aa432daf.aspx,https://www.doc.govt.nz/link/f63676a7ea0d49158c237a08020ae192.aspx,Located in Lake Kaniere Scenic Reserve,1449134,5258774,100043033,6/25/2024 8:30:58 AM,ae82afad-bf62-405e-a443-abb6b4b00e47,1449134,5258774
156607,Glencoe Campsite,Moeraki area,Otago,"This is a standard campsite in the Coastal Otago area. Camp in a sheltered area surrounded by beech and podocarp forest. River, walking and tramping nearby.",Standard,0,20,Yes,,"Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply",,Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,"Forest, Rivers and lakes","Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3e588aa0e2904dd2aa3d339aa08affe5.jpg,https://www.doc.govt.nz/link/26e09fd2c14e4483bdfc50aec6f0657d.aspx,Located in Moeraki area,1423949,4989354,100065559,6/25/2024 8:30:59 AM,16cffb3a-ef73-49d5-be63-19572ed81183,1423949,4989354
156608,Mangawhero Campsite,Tongariro National Park,Central North Island,Camp in the forest on the flanks of Mount Ruapehu; a good base for exploring Tongariro National Park.,Standard,0,12,Yes,,"Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply","Climbing, Hunting, Skiing and ski touring, Walking and tramping",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/4a0cdcdc2fca48c88f63d8cd6837ad12.jpg,https://www.doc.govt.nz/link/c8187c41e46644f2bb1944557383ba2d.aspx,Located in Tongariro National Park,1809334,5636937,100044155,6/25/2024 8:30:59 AM,ee94c9f5-1ad8-4d4e-95f8-9519613b61a3,1809334,5636937
156609,Manganuku Campsite,Ōpōtiki area,East Coast,Camp beside one of the few remaining historic Howe truss bridges.,Standard,0,20,No,,"BBQ, Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Water from stream, Toilets - non-flush, Toilets, Water supply","Fishing, Walking and tramping",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Rivers and lakes,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f5b1d8880385498bbd2e1e1992b9c794.jpg,https://www.doc.govt.nz/link/756ee5f545c14f9aa56062be6a333d72.aspx,Located in Ōpōtiki area,1983591,5752821,100065881,6/25/2024 8:31:00 AM,9e4c0983-7a18-413b-a397-26ee9b5a7e85,1983591,5752821
156610,Ōtaki Forks Campsite,Ōtaki Forks area,Wellington/Kapiti,"One of the main entrances to Tararua Forest Park, the campsite is surrounded by open river terraces and regenerating bush.",Standard,0,150,No,,"Non-powered/tent sites, Toilets - flush, Water from tap - not treated, boil before use, Wheelchair accessible, Toilets, Water supply","Fishing, Kayaking and canoeing, Swimming, Walking and tramping",Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,"Forest, Rivers and lakes","Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/c0ba9da08a9548f2b5d6c243930e68e5.jpg,https://www.doc.govt.nz/link/5deef331a18b408db4e1f86c43d13434.aspx,Located in Ōtaki Forks area,1787221,5471991,100031362,6/25/2024 8:31:00 AM,57acfdf2-85c1-4473-aa7e-94324081a576,1787221.4047,5471991.0996
156611,Otamure Bay (Whananaki) Campsite,Whananaki area,Northland,Camp in a beach-front setting with large pōhutukawa trees for shade. Relax on the beach or walk along the coast.,Standard,0,130,Yes,,"Boat launching, Non-powered/tent sites, Shelter for cooking, Shower - cold, Water from tap - not treated, boil before use, Wheelchair accessible, Toilets - non-flush, Toilets, Water supply","Diving and snorkelling, Fishing, Swimming, Walking and tramping",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/83508325e70344fab05d64566981c09c.jpg,https://www.doc.govt.nz/link/ca352b0bcb524841b3848aa2ebe231e3.aspx,Located in Whananaki area,1732552,6071381,100031414,6/25/2024 8:31:01 AM,01142274-bb1c-44c9-a255-a0c6d50bc5f7,1732552,6071381
156612,Piano Flat Campsite,Waikaia Forest Conservation Area,Southland,"This is a riverside campsite in a farmland area. There are walks and tramps from here or go horse riding, biking, hunting or on 4WD excursions.",Standard,0,50,Yes,,"BBQ, Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Water from stream, Toilets - non-flush, Toilets, Water supply","Four wheel driving, Horse riding, Mountain biking",Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,Rivers and lakes,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/c1517d5755b14fd3893bf59827ddc2b4.jpg,https://www.doc.govt.nz/link/70ab946ce5474bdfbff48ec87d759e78.aspx,Located in Waikaia Forest Conservation Area,1289053,4946997,100066033,6/25/2024 8:31:01 AM,a5b48bf5-3e36-439c-8767-7dfa66b5bc0e,1289053,4946997
156613,Whatamango Bay Campsite,Queen Charlotte Sound/Tōtaranui area,Marlborough,"Camp beside the beach and go fishing, explore and enjoy the peace only 15-minute drive away from the Picton ferry.",Standard,0,50,Yes,,"Non-powered/tent sites, Toilets - flush, Water from tap - not treated, boil before use, Toilets, Water supply","Boating, Fishing, Walking and tramping",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/e50212bed3f34b55b4ee638e2918dd8f.jpg,https://www.doc.govt.nz/link/10abf2032a2d4a71a0543459b6c844c1.aspx,Located in Queen Charlotte Sound/Tōtaranui area,1690072,5430675,100065341,6/25/2024 8:31:01 AM,c3996dbd-2614-4292-9ce7-f20a38f0f6b9,1690072,5430675
156614,Pohangina Base Campsite,Pohangina Valley area,Manawatu/Whanganui,A standard campsite above the Pohangina River near the Ruahine Forest Park,Standard,0,3,Yes,,"Non-powered/tent sites, Shower - hot, Toilets - flush, Water from tap - not treated, boil before use, Toilets, Water supply",,Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,Rivers and lakes,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5f41337f4dc84dffa94512f0be690e92.jpg,https://www.doc.govt.nz/link/da964193330d445c907cfb370818c217.aspx,Located in Pohangina Valley area,1852229,5562799,100095961,6/25/2024 8:31:01 AM,5196c567-cca2-4c2e-ba65-012aab8c21bb,1852229,5562799
156615,Puketi Recreation Area Campsite,Puketi and Omahuta Forests,Northland,"Camp at the eastern edge of the forest, close to kauri trees. Look out for kiwi and short-tailed bats. This is an ideal base for day or overnight tramps.",Standard,0,20,Yes,,"BBQ, Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Shower - cold, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply","Hunting, Mountain biking, Walking and tramping",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Forest,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/30cfa3cd4bfe4946b74682fecf6f3597.jpg,https://www.doc.govt.nz/link/0ae368ae422245ea85a7b4271edb7484.aspx,Located in Puketi and Omahuta Forests,1672198,6103223,100000726,6/25/2024 8:31:02 AM,4af03ee4-2aad-407d-9bc2-89c1521302bf,1672198,6103223
156616,Ngaherenga Campsite,Pureora Forest Park,Waikato,"Camp near a stream beside lush forest and look out for native wildlife such as kākā, kōkako, kākāriki and short-tailed bats.",Standard,0,16,Yes,,"BBQ, Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply",,No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Forest,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/ac86892cc3b84e67b6ac02e3469a51bd.aspx,https://www.doc.govt.nz/link/28723ae27b854818ab3904932dc22fed.aspx,Located in Pureora Forest Park,1823414,5734345,100031355,6/25/2024 8:31:02 AM,a970bde1-d3d6-463f-aa4b-b02875827823,1823414,5734345
156617,Piropiro Campsite,Pureora Forest Park,Waikato,"This is a basic campsite in the Waitomo/Pureora area. From here, explore forest roads by car or mountain bike.",Basic,0,16,No,,"Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Water from stream, Toilets - non-flush, Toilets, Water supply","Hunting, Mountain biking, Walking and tramping",Dogs with a DOC permit only. Contact closest <a href=""#contacts"">DOC office</a> to get a permit. <a ,Forest,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/d0b32c55602e4fe88dcd072c63e3ba2d.jpg,https://www.doc.govt.nz/link/51c87ce258ed4ce8a0ce520d4646c8d9.aspx,Located in Pureora Forest Park,1816782,5720961,100031356,6/25/2024 8:31:03 AM,a543f16e-4398-4c12-b733-f455809cb0c7,1816782,5720961
